county,technology,columns,type,number
Union,Hand,2,7,1
Union,Hand,2,8,0
Union,Hand,2,9,37
Union,Hand,2,10,0
Union,Hand,2,11,1
Union,Hand,2,12,0
Union,Hand,2,13,0
Union,Hand,2,14,0
Volusia,Optical,1,1,339
Volusia,Optical,1,2,171
Volusia,Optical,1,3,82357
Volusia,Optical,1,4,97304
Volusia,Optical,1,5,444
Volusia,Optical,1,6,2910
Volusia,Optical,1,7,8
Volusia,Optical,1,8,36
Volusia,Optical,1,9,498
Volusia,Optical,1,10,5
Volusia,Optical,1,11,20
Volusia,Optical,1,12,70
Volusia,Optical,1,13,0
Volusia,Optical,1,14,1
Wakulla,Datavote,1,1,49
Wakulla,Datavote,1,2,373
Wakulla,Datavote,1,3,4512
Wakulla,Datavote,1,4,3838
Wakulla,Datavote,1,5,30
Wakulla,Datavote,1,6,149
Wakulla,Datavote,1,7,2
Wakulla,Datavote,1,8,3
Wakulla,Datavote,1,9,46
Wakulla,Datavote,1,10,1
Wakulla,Datavote,1,11,0
Wakulla,Datavote,1,12,6
Wakulla,Datavote,1,13,0
Wakulla,Datavote,1,14,0
Walton,Optical,1,1,135
Walton,Optical,1,2,72
Walton,Optical,1,3,12182
Walton,Optical,1,4,5642
Walton,Optical,1,5,68
Walton,Optical,1,6,265
Walton,Optical,1,7,3
Walton,Optical,1,8,11
Walton,Optical,1,9,120
Walton,Optical,1,10,2
Walton,Optical,1,11,7
Walton,Optical,1,12,18
Walton,Optical,1,13,0
Walton,Optical,1,14,0
Washington,Optical,1,1,305
Washington,Optical,1,2,36
Washington,Optical,1,3,4994
Washington,Optical,1,4,2798
Washington,Optical,1,5,32
Washington,Optical,1,6,93
Washington,Optical,1,7,0
Washington,Optical,1,8,2
Washington,Optical,1,9,88
Washington,Optical,1,10,0
Washington,Optical,1,11,9
Washington,Optical,1,12,5
Washington,Optical,1,13,3
Washington,Optical,1,14,1
