county,technology,columns,type,number
Duval,Votomatic,2,10,15
Duval,Votomatic,2,11,58
Duval,Votomatic,2,12,41
Duval,Votomatic,2,13,0
Duval,Votomatic,2,14,0
Escambia,Optical,1,1,679
Escambia,Optical,1,2,3680
Escambia,Optical,1,3,73017
Escambia,Optical,1,4,40943
Escambia,Optical,1,5,296
Escambia,Optical,1,6,1727
Escambia,Optical,1,7,6
Escambia,Optical,1,8,24
Escambia,Optical,1,9,502
Escambia,Optical,1,10,3
Escambia,Optical,1,11,110
Escambia,Optical,1,12,20
Escambia,Optical,1,13,0
Escambia,Optical,1,14,0
Flagler,Optical,1,1,60
Flagler,Optical,1,2,7
Flagler,Optical,1,3,12613
Flagler,Optical,1,4,13897
Flagler,Optical,1,5,60
Flagler,Optical,1,6,435
Flagler,Optical,1,7,1
Flagler,Optical,1,8,4
Flagler,Optical,1,9,83
Flagler,Optical,1,10,3
Flagler,Optical,1,11,3
Flagler,Optical,1,12,12
Flagler,Optical,1,13,0
Flagler,Optical,1,14,0
Franklin,Optical,2,1,70
Franklin,Optical,2,2,350
Franklin,Optical,2,3,2454
Franklin,Optical,2,4,2046
Franklin,Optical,2,5,17
Franklin,Optical,2,6,85
Franklin,Optical,2,7,1
Franklin,Optical,2,8,3
Franklin,Optical,2,9,33
Franklin,Optical,2,10,0
Franklin,Optical,2,11,3
Franklin,Optical,2,12,2
Franklin,Optical,2,13,0
Franklin,Optical,2,14,0
Gadsden,Optical,2,1,121
Gadsden,Optical,2,2,1946
Gadsden,Optical,2,3,4767
Gadsden,Optical,2,4,9735
Gadsden,Optical,2,5,24
Gadsden,Optical,2,6,139
Gadsden,Optical,2,7,3
Gadsden,Optical,2,8,4
Gadsden,Optical,2,9,38
Gadsden,Optical,2,10,4
Gadsden,Optical,2,11,7
Gadsden,Optical,2,12,6
Gadsden,Optical,2,13,0
Gadsden,Optical,2,14,0
Gilchrist,Datavote,1,1,47
Gilchrist,Datavote,1,2,241
Gilchrist,Datavote,1,3,3300
Gilchrist,Datavote,1,4,1910
Gilchrist,Datavote,1,5,52
Gilchrist,Datavote,1,6,97
Gilchrist,Datavote,1,7,0
Gilchrist,Datavote,1,8,1
Gilchrist,Datavote,1,9,29
Gilchrist,Datavote,1,10,0
Gilchrist,Datavote,1,11,2
Gilchrist,Datavote,1,12,4
Gilchrist,Datavote,1,13,0
Gilchrist,Datavote,1,14,0
Glades,Datavote,1,1,68
Glades,Datavote,1,2,281
Glades,Datavote,1,3,1841
Glades,Datavote,1,4,1442
Glades,Datavote,1,5,12
Glades,Datavote,1,6,56
Glades,Datavote,1,7,0
Glades,Datavote,1,8,3
Glades,Datavote,1,9,9
Glades,Datavote,1,10,1
Glades,Datavote,1,11,0
Glades,Datavote,1,12,1
Glades,Datavote,1,13,0
Glades,Datavote,1,14,0
Gulf,Optical,2,1,47
Gulf,Optical,2,2,362
Gulf,Optical,2,3,3550
Gulf,Optical,2,4,2397
Gulf,Optical,2,5,21
Gulf,Optical,2,6,86
Gulf,Optical,2,7,2
Gulf,Optical,2,8,4
Gulf,Optical,2,9,71
Gulf,Optical,2,10,2
Gulf,Optical,2,11,2
Gulf,Optical,2,12,9
Gulf,Optical,2,13,0
Gulf,Optical,2,14,0
Hamilton,Optical,2,1,31
Hamilton,Optical,2,2,373
Hamilton,Optical,2,3,2146
Hamilton,Optical,2,4,1722
Hamilton,Optical,2,5,12
Hamilton,Optical,2,6,37
Hamilton,Optical,2,7,4
Hamilton,Optical,2,8,1
Hamilton,Optical,2,9,23
Hamilton,Optical,2,10,8
Hamilton,Optical,2,11,7
Hamilton,Optical,2,12,4
Hamilton,Optical,2,13,0
Hamilton,Optical,2,14,0
Hardee,Datavote,1,1,84
Hardee,Datavote,1,2,323
Hardee,Datavote,1,3,3765
Hardee,Datavote,1,4,2339
Hardee,Datavote,1,5,17
Hardee,Datavote,1,6,75
Hardee,Datavote,1,7,0
Hardee,Datavote,1,8,2
Hardee,Datavote,1,9,30
Hardee,Datavote,1,10,0
Hardee,Datavote,1,11,2
Hardee,Datavote,1,12,3
Hardee,Datavote,1,13,0
Hardee,Datavote,1,14,0
Hendry,Optical,2,1,39
Hendry,Optical,2,2,760
Hendry,Optical,2,3,4747
Hendry,Optical,2,4,3240
Hendry,Optical,2,5,11
Hendry,Optical,2,6,104
Hendry,Optical,2,7,3
Hendry,Optical,2,8,1
Hendry,Optical,2,9,22
Hendry,Optical,2,10,2
Hendry,Optical,2,11,7
Hendry,Optical,2,12,2
Hendry,Optical,2,13,0
Hendry,Optical,2,14,0
Hernando,Optical,1,1,83
Hernando,Optical,1,2,148
Hernando,Optical,1,3,30646
Hernando,Optical,1,4,32644
Hernando,Optical,1,5,116
Hernando,Optical,1,6,1501
Hernando,Optical,1,7,8
Hernando,Optical,1,8,26
Hernando,Optical,1,9,242
Hernando,Optical,1,10,4
Hernando,Optical,1,11,10
Hernando,Optical,1,12,22
Hernando,Optical,1,13,0
Hernando,Optical,1,14,0
Highlands,Votomatic,1,1,466
Highlands,Votomatic,1,2,520
Highlands,Votomatic,1,3,20206
Highlands,Votomatic,1,4,14167
Highlands,Votomatic,1,5,64
Highlands,Votomatic,1,6,545
Highlands,Votomatic,1,7,6
Highlands,Votomatic,1,8,16
Highlands,Votomatic,1,9,127
Highlands,Votomatic,1,10,3
Highlands,Votomatic,1,11,7
Highlands,Votomatic,1,12,8
Highlands,Votomatic,1,13,0
Highlands,Votomatic,1,14,0
Hillsborough,Votomatic,1,1,5431
Hillsborough,Votomatic,1,2,3640
Hillsborough,Votomatic,1,3,180760
Hillsborough,Votomatic,1,4,169557
Hillsborough,Votomatic,1,5,1138
Hillsborough,Votomatic,1,6,7490
Hillsborough,Votomatic,1,7,35
Hillsborough,Votomatic,1,8,217
Hillsborough,Votomatic,1,9,847
Hillsborough,Votomatic,1,10,29
Hillsborough,Votomatic,1,11,68
Hillsborough,Votomatic,1,12,154
Hillsborough,Votomatic,1,13,0
Hillsborough,Votomatic,1,14,0
Holmes,Optical,1,1,97
Holmes,Optical,1,2,40
Holmes,Optical,1,3,5011
Holmes,Optical,1,4,2177
Holmes,Optical,1,5,18
Holmes,Optical,1,6,94
Holmes,Optical,1,7,1
Holmes,Optical,1,8,7
Holmes,Optical,1,9,76
Holmes,Optical,1,10,3
Holmes,Optical,1,11,6
Holmes,Optical,1,12,2
Holmes,Optical,1,13,0
Holmes,Optical,1,14,0
IndianRiver,Votomatic,1,1,1044
IndianRiver,Votomatic,1,2,790
IndianRiver,Votomatic,1,3,28635
IndianRiver,Votomatic,1,4,19768
IndianRiver,Votomatic,1,5,122
